Datos Medidos,Datos Predichos
44.99999999999999,44.467834
44.0,43.99322
43.00000000000001,43.280178
46.0,42.64869
43.00000000000001,44.63721
44.0,43.15857
42.0,43.543304
42.0,42.38398
39.00000000000001,42.218933
42.0,40.522182
43.00000000000001,41.743225
42.0,42.552647
40.0,42.236538
40.0,41.112133
40.0,40.794575
40.99999999999999,40.63056
39.00000000000001,41.097343
40.99999999999999,40.115128
40.99999999999999,40.957703
39.00000000000001,41.1268
39.00000000000001,40.12865
40.0,39.865826
39.00000000000001,40.265423
40.0,39.806854
39.00000000000001,40.235012
39.00000000000001,39.78867
39.00000000000001,39.68397
40.0,39.625908
39.00000000000001,40.129425
39.00000000000001,39.730946
40.0,39.64818
39.00000000000001,40.132732
39.00000000000001,39.728504
36.99999999999999,39.642303
40.99999999999999,38.537952
39.00000000000001,40.323273
38.0,39.702297
40.0,39.103775
40.0,39.95963
40.0,40.160465
40.99999999999999,40.267506
40.99999999999999,40.8934
40.99999999999999,41.04835
40.99999999999999,41.06683
42.0,41.035793
42.0,41.60785
40.99999999999999,41.70238
43.00000000000001,41.09379
42.0,42.180115
44.99999999999999,41.778873
42.0,43.603333
39.00000000000001,42.01052
40.0,39.942772
39.00000000000001,40.07454
39.00000000000001,39.608982
36.99999999999999,39.55847
39.00000000000001,38.501812
38.0,39.270702
40.0,38.899918
40.0,39.89011
39.00000000000001,40.154675
40.99999999999999,39.761967
40.99999999999999,40.733967
39.00000000000001,41.015587
40.0,39.989967
38.0,40.26588
38.0,39.24606
40.0,38.972595
40.0,39.883923
43.00000000000001,40.122967
40.99999999999999,42.06224
40.99999999999999,41.250088
40.99999999999999,41.038895
40.99999999999999,40.947823
42.0,40.939537
39.00000000000001,41.56984
39.00000000000001,39.993397
40.0,39.682594
39.00000000000001,40.096497
39.00000000000001,39.693684
40.99999999999999,39.622345
39.00000000000001,40.643974
38.0,39.878464
40.99999999999999,39.197536
40.99999999999999,40.53715
42.0,40.91801
43.00000000000001,41.67783
42.0,42.426105
40.99999999999999,41.871136
40.0,41.068977
40.99999999999999,40.332363
40.0,40.763012
40.0,40.40419
39.00000000000001,40.37873
40.0,39.851486
40.99999999999999,40.236794
40.0,40.857834
40.0,40.50295
39.00000000000001,40.447342
36.0,39.888588
36.0,38.14521
38.0,37.607647
39.00000000000001,38.37505
38.0,39.064842
39.00000000000001,38.785393
38.0,39.279083
36.99999999999999,38.887844
38.0,38.28229
39.00000000000001,38.6015
38.0,39.167896
39.00000000000001,38.82688
36.99999999999999,39.285797
38.0,38.365166
40.0,38.63971
40.99999999999999,39.69801
40.0,40.604473
42.0,40.3091
40.99999999999999,41.46349
40.99999999999999,41.05867
40.0,40.929565
39.00000000000001,40.274063
40.0,39.661358
39.00000000000001,40.05221
40.0,39.649982
38.0,40.105766
38.0,39.18697
40.0,38.955112
39.00000000000001,39.876827
39.00000000000001,39.599884
38.0,39.577335
40.0,39.039543
38.0,39.919422
36.99999999999999,39.095963
39.00000000000001,38.38862
38.0,39.171192
38.0,38.824276
36.99999999999999,38.76607
38.0,38.214844
38.0,38.56195
39.00000000000001,38.624462
40.0,39.1763
39.00000000000001,39.863075
39.00000000000001,39.585144
38.0,39.554924
38.0,39.016903
39.00000000000001,38.853657
38.0,39.28363
36.99999999999999,38.876717
38.0,38.269047
36.99999999999999,38.582146
39.00000000000001,38.1153
39.00000000000001,39.02081
36.99999999999999,39.25977
38.0,38.358276
39.00000000000001,38.630535
38.0,39.167133
36.99999999999999,38.82032
38.0,38.242397
38.0,38.566288
39.00000000000001,38.619534
38.0,39.164284
38.0,38.81859
36.99999999999999,38.75386
38.0,38.20406
38.0,38.545273
39.00000000000001,38.607716
38.0,39.156536
39.00000000000001,38.813965
39.00000000000001,39.26376
38.0,39.37986
38.0,38.9282
36.99999999999999,38.806343
36.0,38.228775
36.99999999999999,37.533646
36.0,37.79652
36.99999999999999,37.311455
36.99999999999999,37.68645
36.99999999999999,37.767467
39.00000000000001,37.812508
61.99999999999999,38.853683
56.0,53.89725
60.99999999999999,53.003532
81.0,55.16111
67.0,68.53689
47.00000000000001,59.56602
42.0,42.786926
42.0,37.91613
40.0,38.646748
40.99999999999999,38.888805
40.0,40.289604
40.99999999999999,40.454456
43.00000000000001,41.28913
40.0,42.70213
43.00000000000001,41.416737
40.99999999999999,42.83097
40.0,41.97175
40.0,41.21876
40.99999999999999,40.939884
40.99999999999999,41.335842
39.00000000000001,41.38903
38.0,40.294968
39.00000000000001,39.43757
36.99999999999999,39.66797
40.0,38.561337
39.00000000000001,39.883583
40.0,39.626575
39.00000000000001,40.16473
40.99999999999999,39.762775
39.00000000000001,40.75763
39.00000000000001,39.931637
40.99999999999999,39.75718
39.00000000000001,40.73272
40.0,39.913364
39.00000000000001,40.27591
39.00000000000001,39.79801
39.00000000000001,39.6774
40.0,39.612816
40.99999999999999,40.11195
40.99999999999999,40.779922
40.0,41.030228
39.00000000000001,40.538
40.0,39.901405
36.99999999999999,40.234417
38.0,38.708153
38.0,38.819977
