Datos Medidos,Datos Predichos
45.0,43.85000043395248
44.0,43.9253562086555
43.0,43.07770663117905
46.0,42.32192341668666
43.0,44.67664277874685
44.0,42.38616744727604
42.0,43.2175507667953
42.0,41.699912409481314
39.0,41.64379770798744
42.0,39.39956748952227
43.0,41.6327398916699
42.0,42.42173113448923
40.0,41.70434091613487
40.0,40.216599297102995
40.0,40.18083773030866
41.0,40.173998574144484
39.0,40.916637917491435
41.0,39.430669108534865
41.0,40.93938336196106
39.0,41.003382571360696
39.0,39.43785713138006
40.0,39.45536633417446
39.0,40.14539910129845
40.0,39.41687336020568
39.0,40.14894827237358
39.0,39.40579611967936
39.0,39.42915122829432
40.0,39.40192115148468
39.0,40.08214761377507
39.0,39.3036653320908
40.0,39.292583922796005
39.0,40.14106013035145
39.0,39.297076750128326
37.0,39.297551010200834
41.0,37.81609804872406
39.0,40.7658552528012
38.0,39.284395805890256
40.0,38.54431344858432
40.0,40.0413266047145
40.0,40.08138896871689
41.0,39.98708479727324
41.0,40.764252632644585
41.0,40.757851822099276
41.0,40.73358410506433
42.0,40.76311454240212
42.0,41.48909863098336
41.0,41.52900037015389
43.0,40.80663397033184
42.0,42.25905528359681
45.0,41.440186599928474
42.0,43.76949073429104
39.0,41.472687981618684
40.0,39.24323325191369
39.0,39.944917335919996
39.0,39.14723362250514
37.0,39.19780683196431
39.0,37.79614886921806
38.0,39.207706957600976
40.0,38.4831757662927
40.0,39.99920261468465
39.0,40.039175611118615
41.0,39.19850757351658
41.0,40.708789344043964
39.0,40.71333111133258
40.0,39.218120944281694
38.0,39.99638985575944
38.0,38.473957947691495
40.0,38.41860493791055
40.0,39.94100390933657
43.0,39.93774049887605
41.0,42.259424276128485
41.0,40.697830539475845
41.0,40.65347572286283
41.0,40.54128426319088
42.0,40.53663893246792
39.0,41.35955904190745
39.0,39.07981861511794
40.0,39.08906595689505
39.0,39.85178062667875
39.0,39.065441374384406
41.0,39.1435499370743
39.0,40.635636799403684
38.0,39.04752843427776
41.0,38.42318390491086
41.0,40.6494227574103
42.0,40.63322058981744
43.0,41.40778959727605
42.0,42.177494174316145
41.0,41.38170707214629
40.0,40.64837539344053
41.0,39.94987121796017
40.0,40.68380169360305
40.0,39.922269078453866
39.0,39.97074566952158
40.0,39.235139012849345
41.0,39.94106667351954
40.0,40.730879943898394
40.0,39.90905337685693
39.0,39.96103418815149
36.0,39.18832285513955
36.0,36.82789688540112
38.0,36.88916566694126
39.0,38.44470921361432
38.0,39.159996333633906
39.0,38.396376183059715
38.0,39.195079272100536
37.0,38.387424425896164
38.0,37.64104871619414
39.0,38.43862325619612
38.0,39.164697865525135
39.0,38.46187344755429
37.0,39.21207734308714
38.0,37.624349281805976
40.0,38.36518319855412
41.0,39.8108782151694
40.0,40.519521120209255
42.0,39.84220440521445
41.0,41.360076558142644
41.0,40.65094341225156
40.0,40.56063878960282
39.0,39.82118293686584
40.0,39.022105190476736
39.0,39.76068454924018
40.0,39.06374073968914
38.0,39.840455449594906
38.0,38.308875791311976
40.0,38.35176863303343
39.0,39.7907789811966
39.0,39.022365448505994
38.0,39.154066123056865
40.0,38.36982061605936
38.0,39.817022385831436
37.0,38.379178451393145
39.0,37.60915210510592
38.0,39.18520998551812
38.0,38.42130593334209
37.0,38.41962764846682
38.0,37.70407526808517
38.0,38.398355176363424
39.0,38.401417900474186
40.0,39.09754582234942
39.0,39.84819366028511
