Datos Medidos,Datos Predichos
47.0,59.46666666666667
42.0,41.93333333333334
42.0,38.666666666666664
40.0,38.4
41.0,38.46666666666667
40.0,38.666666666666664
41.0,38.53333333333333
43.0,38.6
40.0,38.733333333333334
43.0,38.53333333333333
41.0,39.06666666666667
40.0,38.53333333333333
40.0,38.2
41.0,38.4
41.0,38.266666666666666
39.0,38.53333333333333
38.0,37.86666666666667
39.0,38.733333333333334
37.0,38.6
40.0,38.733333333333334
39.0,38.666666666666664
40.0,38.733333333333334
39.0,38.53333333333333
41.0,38.733333333333334
39.0,39.13333333333333
39.0,38.93333333333333
41.0,38.6
39.0,38.666666666666664
40.0,38.333333333333336
39.0,38.46666666666667
39.0,38.266666666666666
39.0,38.8
40.0,39.2
41.0,39.2
41.0,38.666666666666664
40.0,38.8
39.0,39.53333333333333
40.0,40.53333333333333
37.0,40.666666666666664
38.0,40.333333333333336
38.0,39.86666666666667
39.0,39.8
37.0,39.06666666666667
37.0,38.733333333333334
39.0,39.333333333333336
37.0,39.266666666666666
38.0,38.93333333333334
39.0,39.266666666666666
39.0,40.0
39.0,39.666666666666664
39.0,39.8
40.0,39.666666666666664
40.0,39.666666666666664
42.0,39.53333333333333
39.0,40.8
37.0,39.733333333333334
36.0,40.06666666666667
35.0,39.53333333333333
38.0,40.4
35.0,39.266666666666666
37.0,39.333333333333336
37.0,37.8
36.0,37.8
35.0,38.13333333333333
37.0,38.2
38.0,38.0
36.0,38.06666666666667
37.0,38.53333333333333
37.0,38.333333333333336
36.0,38.46666666666667
36.0,38.4
36.0,38.666666666666664
37.0,38.2
39.0,38.13333333333333
38.0,38.4
38.0,38.733333333333334
39.0,38.53333333333333
38.0,37.93333333333333
39.0,37.46666666666667
37.0,37.86666666666667
39.0,38.2
36.0,38.46666666666667
38.0,38.333333333333336
42.0,38.53333333333333
39.0,38.0
40.0,38.266666666666666
42.0,38.333333333333336
40.0,38.6
39.0,38.266666666666666
40.0,38.266666666666666
39.0,38.46666666666667
40.0,38.266666666666666
38.0,38.6
37.0,38.86666666666667
39.0,38.4
42.0,38.733333333333334
39.0,39.6
39.0,38.666666666666664
40.0,39.46666666666667
36.0,39.0
38.0,38.53333333333333
61.0,38.733333333333334
37.0,54.2
37.0,40.13333333333333
37.0,39.46666666666667
35.0,38.86666666666667
38.0,38.8
39.0,38.93333333333333
37.0,38.266666666666666
37.0,39.6
37.0,39.06666666666667
38.0,38.46666666666667
38.0,38.266666666666666
39.0,38.733333333333334
37.0,38.13333333333333
36.0,38.0
37.0,38.6
36.0,38.733333333333334
38.0,38.46666666666667
37.0,38.666666666666664
39.0,38.733333333333334
38.0,38.6
