45,42.689
44,42.972
43,42.138
46,41.43
43,44.044
44,41.257
42,42.32
42,40.67
39,40.836
42,38.773
43,41.088
42,41.604
40,40.753
40,39.421
40,39.57
41,39.57
39,40.266
41,38.843
41,40.346
39,40.187
39,38.843
40,38.985
39,39.646
40,38.914
39,39.646
39,38.914
39,38.985
40,38.985
39,39.646
39,38.914
40,38.985
39,39.646
39,38.914
37,38.985
41,37.781
39,40.508
38,38.843
40,38.364
40,39.722
40,39.57
41,39.57
41,40.266
41,40.187
41,40.187
42,40.187
42,40.919
41,40.836
43,40.108
42,41.692
45,40.753
42,43.259
39,40.588
40,38.773
39,39.646
39,38.914
37,38.985
39,37.781
38,39.128
40,38.364
40,39.722
39,39.57
41,38.914
41,40.346
39,40.187
40,38.843
38,39.646
38,38.297
40,38.431
40,39.722
43,39.57
41,41.78
41,40.03
41,40.187
41,40.187
42,40.187
39,40.919
39,38.773
40,38.985
39,39.646
39,38.914
41,38.985
39,40.346
38,38.843
41,38.364
41,40.427
42,40.187
43,40.919
42,41.604
41,40.753
40,40.108
41,39.495
40,40.266
40,39.495
39,39.57
40,38.914
41,39.646
40,40.266
40,39.495
39,39.57
36,38.914
36,37.237
38,37.414
39,38.567
38,39.056
39,38.364
38,39.056
37,38.364
38,37.844
39,38.499
38,39.056
39,38.364
37,39.056
38,37.781
40,38.499
41,39.722
40,40.266
42,39.495
41,41.003
41,40.108
40,40.187
39,39.495
40,38.914
39,39.646
40,38.914
38,39.646
38,38.297
40,38.431
39,39.722
39,38.914
38,38.985
40,38.364
38,39.722
37,38.297
39,37.844
38,39.128
38,38.364
37,38.431
38,37.844
38,38.499
39,38.431
40,39.056
39,39.646
39,38.914
38,38.985
38,38.364
39,38.431
38,39.056
37,38.364
38,37.844
37,38.499
39,37.844
39,39.128
37,38.985
38,37.781
39,38.499
38,39.056
37,38.364
38,37.844
38,38.499
39,38.431
38,39.056
38,38.364
37,38.431
38,37.844
38,38.499
39,38.431
38,39.056
39,38.364
39,39.056
38,38.985
38,38.364
