Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
07/01/2019 05:51,07/01/2019 06:52,75
07/01/2019 06:52,07/01/2019 07:52,76
07/01/2019 07:52,07/01/2019 08:52,75
07/01/2019 08:52,07/01/2019 09:52,73
07/01/2019 09:52,07/01/2019 10:52,75
07/01/2019 10:53,07/01/2019 11:53,77
07/01/2019 11:53,07/01/2019 12:53,76
07/01/2019 12:53,07/01/2019 13:53,77
07/01/2019 13:53,07/01/2019 14:53,77
07/01/2019 14:53,07/01/2019 15:54,75
07/01/2019 15:54,07/01/2019 16:54,74
07/01/2019 16:54,07/01/2019 17:54,76
07/01/2019 17:54,07/01/2019 18:54,77
07/01/2019 18:54,07/01/2019 19:54,74
07/01/2019 19:54,07/01/2019 20:55,71
07/01/2019 20:55,07/01/2019 21:55,72
07/01/2019 21:55,07/01/2019 22:55,73
07/01/2019 22:55,07/01/2019 23:55,75
07/01/2019 23:55,08/01/2019 00:55,75
08/01/2019 00:56,08/01/2019 01:56,74
08/01/2019 01:56,08/01/2019 02:56,75
08/01/2019 02:56,08/01/2019 03:56,71
08/01/2019 03:56,08/01/2019 04:56,76
08/01/2019 04:56,08/01/2019 05:57,72
08/01/2019 05:57,08/01/2019 06:57,74
08/01/2019 06:57,08/01/2019 07:57,75
08/01/2019 07:57,08/01/2019 08:57,77
08/01/2019 08:57,08/01/2019 09:57,75
08/01/2019 09:57,08/01/2019 10:58,75
08/01/2019 10:58,08/01/2019 11:58,74
08/01/2019 11:58,08/01/2019 12:58,75
08/01/2019 12:58,08/01/2019 13:58,75
08/01/2019 13:58,08/01/2019 14:59,76
08/01/2019 14:59,08/01/2019 15:59,74
08/01/2019 15:59,08/01/2019 16:59,76
08/01/2019 16:59,08/01/2019 17:59,77
08/01/2019 17:59,08/01/2019 18:59,78
08/01/2019 18:59,08/01/2019 19:39,77
08/01/2019 19:56,08/01/2019 20:57,74
08/01/2019 20:57,08/01/2019 21:57,77
08/01/2019 21:57,08/01/2019 22:57,76
08/01/2019 22:57,08/01/2019 23:57,75
08/01/2019 23:57,09/01/2019 00:57,74
09/01/2019 00:57,09/01/2019 01:58,76
09/01/2019 01:58,09/01/2019 02:58,74
09/01/2019 02:58,09/01/2019 03:58,77
09/01/2019 03:58,09/01/2019 04:58,75
09/01/2019 04:58,09/01/2019 05:58,74
09/01/2019 05:59,09/01/2019 06:59,73
09/01/2019 06:59,09/01/2019 07:59,76
09/01/2019 07:59,09/01/2019 08:59,76
09/01/2019 08:59,09/01/2019 09:59,75
09/01/2019 09:59,09/01/2019 11:00,77
09/01/2019 11:00,09/01/2019 12:00,77
09/01/2019 12:00,09/01/2019 13:00,77
09/01/2019 13:00,09/01/2019 14:00,77
09/01/2019 14:00,09/01/2019 15:00,78
09/01/2019 15:00,09/01/2019 16:01,75
09/01/2019 16:01,09/01/2019 17:01,77
09/01/2019 17:01,09/01/2019 18:01,77
09/01/2019 18:01,09/01/2019 19:01,79
09/01/2019 19:01,09/01/2019 20:01,77
09/01/2019 20:02,09/01/2019 21:02,77
09/01/2019 21:02,09/01/2019 22:02,77
09/01/2019 22:02,09/01/2019 23:02,77
09/01/2019 23:02,10/01/2019 00:02,74
10/01/2019 00:02,10/01/2019 01:03,74
10/01/2019 01:03,10/01/2019 02:03,77
10/01/2019 02:03,10/01/2019 03:03,77
10/01/2019 03:03,10/01/2019 04:03,77
10/01/2019 04:03,10/01/2019 05:03,74
10/01/2019 05:03,10/01/2019 06:04,75
10/01/2019 06:04,10/01/2019 07:04,78
10/01/2019 07:04,10/01/2019 08:04,75
10/01/2019 08:04,10/01/2019 09:04,75
10/01/2019 09:04,10/01/2019 10:04,77
10/01/2019 10:05,10/01/2019 11:05,77
10/01/2019 11:05,10/01/2019 12:05,79
10/01/2019 12:05,10/01/2019 13:05,78
10/01/2019 13:05,10/01/2019 14:05,80
