Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
06/01/2019 16:19,06/01/2019 17:20,38
06/01/2019 17:20,06/01/2019 18:20,38
06/01/2019 18:20,06/01/2019 19:20,38
06/01/2019 19:20,06/01/2019 20:20,38
06/01/2019 20:20,06/01/2019 21:20,39
06/01/2019 21:21,06/01/2019 22:21,39
06/01/2019 22:21,06/01/2019 23:21,37
06/01/2019 23:21,07/01/2019 00:21,37
07/01/2019 00:21,07/01/2019 01:21,37
07/01/2019 01:21,07/01/2019 02:22,37
07/01/2019 02:22,07/01/2019 03:22,38
07/01/2019 03:22,07/01/2019 04:22,39
07/01/2019 04:22,07/01/2019 05:22,36
07/01/2019 05:22,07/01/2019 06:23,37
07/01/2019 06:23,07/01/2019 07:23,37
07/01/2019 07:23,07/01/2019 08:23,38
07/01/2019 08:23,07/01/2019 09:23,36
07/01/2019 09:23,07/01/2019 10:23,37
07/01/2019 10:23,07/01/2019 11:24,37
07/01/2019 11:24,07/01/2019 12:24,38
07/01/2019 12:24,07/01/2019 13:24,37
07/01/2019 13:24,07/01/2019 14:15,38
07/01/2019 14:21,07/01/2019 15:21,36
07/01/2019 15:21,07/01/2019 16:21,37
07/01/2019 16:21,07/01/2019 17:21,39
07/01/2019 17:21,07/01/2019 18:22,39
07/01/2019 18:22,07/01/2019 19:22,38
07/01/2019 19:22,07/01/2019 20:22,36
07/01/2019 20:22,07/01/2019 21:22,38
07/01/2019 21:22,07/01/2019 22:23,38
07/01/2019 22:23,07/01/2019 23:23,36
07/01/2019 23:23,08/01/2019 00:23,37
08/01/2019 00:23,08/01/2019 01:23,36
08/01/2019 01:23,08/01/2019 02:23,37
08/01/2019 02:24,08/01/2019 03:24,39
08/01/2019 03:24,08/01/2019 04:24,37
08/01/2019 04:24,08/01/2019 05:24,38
08/01/2019 05:24,08/01/2019 06:24,37
08/01/2019 06:24,08/01/2019 07:25,38
08/01/2019 07:25,08/01/2019 08:25,36
08/01/2019 08:25,08/01/2019 09:25,39
08/01/2019 09:25,08/01/2019 10:25,39
08/01/2019 10:25,08/01/2019 11:25,38
08/01/2019 11:26,08/01/2019 12:26,38
08/01/2019 12:26,08/01/2019 13:26,40
08/01/2019 13:26,08/01/2019 14:26,41
08/01/2019 14:26,08/01/2019 15:26,40
08/01/2019 15:26,08/01/2019 16:27,38
08/01/2019 16:27,08/01/2019 17:27,39
08/01/2019 17:27,08/01/2019 18:27,38
08/01/2019 18:27,08/01/2019 19:27,39
08/01/2019 19:27,08/01/2019 20:28,37
08/01/2019 20:28,08/01/2019 21:28,38
08/01/2019 21:28,08/01/2019 22:28,37
08/01/2019 22:28,08/01/2019 23:28,38
08/01/2019 23:28,09/01/2019 00:28,38
09/01/2019 00:28,09/01/2019 01:29,38
09/01/2019 01:29,09/01/2019 02:29,40
09/01/2019 02:29,09/01/2019 03:29,39
09/01/2019 03:29,09/01/2019 04:29,38
09/01/2019 04:29,09/01/2019 05:30,39
09/01/2019 05:30,09/01/2019 06:30,36
09/01/2019 06:30,09/01/2019 07:30,38
09/01/2019 07:30,09/01/2019 08:30,38
09/01/2019 08:30,09/01/2019 09:30,37
09/01/2019 09:31,09/01/2019 10:31,37
09/01/2019 10:31,09/01/2019 11:31,38
09/01/2019 11:31,09/01/2019 12:31,37
09/01/2019 12:31,09/01/2019 13:31,37
09/01/2019 13:31,09/01/2019 14:32,37
09/01/2019 14:32,09/01/2019 15:32,35
09/01/2019 15:32,09/01/2019 16:32,39
09/01/2019 16:32,09/01/2019 17:32,36
09/01/2019 17:32,09/01/2019 18:33,36
09/01/2019 18:33,09/01/2019 19:33,36
09/01/2019 19:33,09/01/2019 20:33,35
09/01/2019 20:33,09/01/2019 21:33,36
09/01/2019 21:33,09/01/2019 22:33,35
09/01/2019 22:33,09/01/2019 23:34,36
09/01/2019 23:34,10/01/2019 00:34,37
10/01/2019 00:34,10/01/2019 01:34,36
10/01/2019 01:34,10/01/2019 02:34,37
10/01/2019 02:34,10/01/2019 03:35,36
10/01/2019 03:35,10/01/2019 04:35,35
10/01/2019 04:35,10/01/2019 05:35,34
10/01/2019 05:35,10/01/2019 06:35,37
10/01/2019 06:35,10/01/2019 07:35,37
10/01/2019 07:36,10/01/2019 08:36,36
10/01/2019 08:36,10/01/2019 09:36,37
10/01/2019 09:36,10/01/2019 10:36,37
10/01/2019 10:36,10/01/2019 11:36,34
10/01/2019 11:36,10/01/2019 12:37,38
10/01/2019 12:37,10/01/2019 13:37,38
10/01/2019 13:37,10/01/2019 14:13,36
10/01/2019 14:18,10/01/2019 15:18,38
10/01/2019 15:18,10/01/2019 16:18,36
10/01/2019 16:19,10/01/2019 17:19,38
10/01/2019 17:19,10/01/2019 18:19,36
10/01/2019 18:19,10/01/2019 19:19,38
10/01/2019 19:19,10/01/2019 20:19,37
10/01/2019 20:19,10/01/2019 21:20,35
10/01/2019 21:20,10/01/2019 22:20,37
10/01/2019 22:20,10/01/2019 23:20,37
10/01/2019 23:20,11/01/2019 00:20,39
11/01/2019 00:20,11/01/2019 01:21,36
11/01/2019 01:21,11/01/2019 02:21,38
11/01/2019 02:21,11/01/2019 03:21,38
11/01/2019 03:21,11/01/2019 04:21,38
11/01/2019 04:21,11/01/2019 05:21,36
11/01/2019 05:22,11/01/2019 06:22,37
11/01/2019 06:22,11/01/2019 07:22,38
11/01/2019 07:22,11/01/2019 08:22,36
11/01/2019 08:22,11/01/2019 09:22,36
11/01/2019 09:22,11/01/2019 10:23,38
11/01/2019 10:23,11/01/2019 11:23,39
