Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
03/02/2019 02:21,03/02/2019 03:22,108
03/02/2019 03:22,03/02/2019 04:22,106
03/02/2019 04:22,03/02/2019 05:22,103
03/02/2019 05:22,03/02/2019 06:22,101
03/02/2019 06:22,03/02/2019 07:22,102
03/02/2019 07:23,03/02/2019 08:23,108
03/02/2019 08:23,03/02/2019 09:23,101
03/02/2019 09:23,03/02/2019 10:23,105
03/02/2019 10:23,03/02/2019 11:23,100
03/02/2019 11:23,03/02/2019 12:24,100
03/02/2019 12:24,03/02/2019 13:24,104
03/02/2019 13:24,03/02/2019 14:24,104
03/02/2019 14:24,03/02/2019 15:24,104
03/02/2019 15:24,03/02/2019 16:24,101
03/02/2019 16:25,03/02/2019 17:25,103
03/02/2019 17:25,03/02/2019 18:25,102
03/02/2019 18:25,03/02/2019 19:25,102
03/02/2019 19:25,03/02/2019 20:25,97
03/02/2019 20:25,03/02/2019 21:26,95
03/02/2019 21:26,03/02/2019 22:26,88
03/02/2019 22:26,03/02/2019 23:26,96
03/02/2019 23:26,04/02/2019 00:26,98
04/02/2019 00:26,04/02/2019 01:27,97
04/02/2019 01:27,04/02/2019 02:27,95
04/02/2019 02:27,04/02/2019 03:27,96
04/02/2019 03:27,04/02/2019 04:27,100
04/02/2019 04:27,04/02/2019 05:27,96
04/02/2019 05:27,04/02/2019 06:28,95
04/02/2019 06:28,04/02/2019 07:28,96
04/02/2019 07:28,04/02/2019 08:28,99
04/02/2019 08:28,04/02/2019 09:28,96
04/02/2019 09:28,04/02/2019 10:29,95
04/02/2019 10:29,04/02/2019 11:29,98
04/02/2019 11:29,04/02/2019 12:29,95
04/02/2019 12:29,04/02/2019 13:29,98
04/02/2019 13:29,04/02/2019 14:24,98
04/02/2019 14:33,04/02/2019 15:34,96
04/02/2019 15:34,04/02/2019 16:34,99
04/02/2019 16:34,04/02/2019 17:34,102
04/02/2019 17:34,04/02/2019 18:34,100
04/02/2019 18:34,04/02/2019 19:34,98
04/02/2019 19:34,04/02/2019 20:35,93
04/02/2019 20:35,04/02/2019 21:35,93
04/02/2019 21:35,04/02/2019 22:16,90
04/02/2019 22:23,04/02/2019 23:24,93
04/02/2019 23:24,05/02/2019 00:24,88
05/02/2019 00:24,05/02/2019 01:24,85
05/02/2019 01:24,05/02/2019 02:24,87
05/02/2019 02:24,05/02/2019 03:25,90
05/02/2019 03:25,05/02/2019 04:25,88
05/02/2019 04:25,05/02/2019 05:25,91
05/02/2019 05:25,05/02/2019 06:25,87
05/02/2019 06:25,05/02/2019 07:25,91
05/02/2019 07:25,05/02/2019 08:26,85
05/02/2019 08:26,05/02/2019 09:26,86
05/02/2019 09:26,05/02/2019 10:26,87
05/02/2019 10:26,05/02/2019 11:26,88
05/02/2019 11:26,05/02/2019 12:27,88
05/02/2019 12:27,05/02/2019 13:27,90
05/02/2019 13:27,05/02/2019 14:27,86
05/02/2019 14:27,05/02/2019 15:27,89
05/02/2019 15:27,05/02/2019 16:27,93
05/02/2019 16:27,05/02/2019 17:28,90
05/02/2019 17:28,05/02/2019 18:28,90
05/02/2019 18:28,05/02/2019 19:28,87
05/02/2019 19:28,05/02/2019 20:28,87
05/02/2019 20:28,05/02/2019 21:29,88
05/02/2019 21:29,05/02/2019 22:29,87
05/02/2019 22:29,05/02/2019 23:29,86
05/02/2019 23:29,06/02/2019 00:29,88
06/02/2019 00:29,06/02/2019 01:29,85
06/02/2019 01:29,06/02/2019 02:30,85
06/02/2019 02:30,06/02/2019 03:30,88
06/02/2019 03:30,06/02/2019 04:30,89
06/02/2019 04:30,06/02/2019 05:30,87
06/02/2019 05:30,06/02/2019 06:31,88
06/02/2019 06:31,06/02/2019 07:31,85
06/02/2019 07:31,06/02/2019 08:31,85
06/02/2019 08:31,06/02/2019 09:31,88
06/02/2019 09:31,06/02/2019 10:31,87
06/02/2019 10:31,06/02/2019 11:32,89
06/02/2019 11:32,06/02/2019 12:32,82
06/02/2019 12:32,06/02/2019 13:32,88
06/02/2019 13:32,06/02/2019 14:32,84
06/02/2019 14:32,06/02/2019 15:33,87
06/02/2019 15:33,06/02/2019 16:33,85
06/02/2019 16:33,06/02/2019 17:33,83
06/02/2019 17:33,06/02/2019 18:33,87
06/02/2019 18:33,06/02/2019 19:33,85
06/02/2019 19:34,06/02/2019 20:34,86
06/02/2019 20:34,06/02/2019 21:34,83
06/02/2019 21:34,06/02/2019 22:34,83
06/02/2019 22:34,06/02/2019 23:34,85
06/02/2019 23:34,07/02/2019 00:35,89
07/02/2019 00:35,07/02/2019 01:35,94
07/02/2019 01:35,07/02/2019 02:35,98
07/02/2019 02:35,07/02/2019 03:35,109
07/02/2019 03:35,07/02/2019 04:35,108
07/02/2019 04:36,07/02/2019 05:36,103
07/02/2019 05:36,07/02/2019 06:36,98
07/02/2019 06:36,07/02/2019 07:36,89
07/02/2019 07:36,07/02/2019 08:36,89
07/02/2019 08:36,07/02/2019 09:37,86
07/02/2019 09:37,07/02/2019 10:37,88
07/02/2019 10:37,07/02/2019 11:37,85
07/02/2019 11:37,07/02/2019 12:37,90
07/02/2019 12:37,07/02/2019 13:37,86
07/02/2019 13:38,07/02/2019 14:38,84
07/02/2019 14:38,07/02/2019 15:38,82
07/02/2019 15:38,07/02/2019 16:38,87
07/02/2019 16:38,07/02/2019 17:38,85
07/02/2019 17:38,07/02/2019 18:39,85
07/02/2019 18:39,07/02/2019 19:39,87
07/02/2019 19:39,07/02/2019 20:39,86
07/02/2019 20:39,07/02/2019 21:39,90
07/02/2019 21:39,07/02/2019 22:39,87
07/02/2019 22:40,07/02/2019 23:40,86
07/02/2019 23:40,08/02/2019 00:40,86
08/02/2019 00:40,08/02/2019 01:40,88
08/02/2019 01:40,08/02/2019 02:40,89
08/02/2019 02:40,08/02/2019 03:41,86
08/02/2019 03:41,08/02/2019 04:41,87
08/02/2019 04:41,08/02/2019 05:41,93
08/02/2019 05:41,08/02/2019 06:41,93
08/02/2019 06:41,08/02/2019 07:41,99
08/02/2019 07:42,08/02/2019 08:42,90
08/02/2019 08:42,08/02/2019 09:42,89
08/02/2019 09:42,08/02/2019 10:42,84
08/02/2019 10:42,08/02/2019 11:42,88
08/02/2019 11:42,08/02/2019 12:43,88
08/02/2019 12:43,08/02/2019 13:43,86
08/02/2019 13:43,08/02/2019 14:43,91
08/02/2019 14:43,08/02/2019 15:43,89
08/02/2019 15:43,08/02/2019 16:44,89
